Price,Address,Beds,Baths,Footage,Type
645000,2,2,2,78,2
295000,3,2,2,68,2
395000,4,1,1,43,2
285000,18,2,1,55,2
285000,3,1,1,46,2
2750000,4,6,7,428,4
245000,12,1,1,46,2
285000,6,1,1,43,2
475000,18,3,2,144,2
220000,9,1,1,48,2
295000,4,1,1,39,2
295000,11,3,3,103,4
239000,11,2,1,72,5
235000,13,2,1,68,2
345000,15,3,2,110,2
850000,14,4,3,197,6
320000,8,2,2,60,5
650000,4,3,2,129,4
215000,11,2,2,61,2
395000,24,4,3,152,6
650000,3,3,2,100,4
340000,3,2,1,66,2
595000,6,3,2,97,5
575000,24,4,3,188,1
815000,3,3,2,122,1
495000,3,2,2,83,4
435000,24,4,3,130,1
330000,2,1,1,43,2
240000,8,1,1,42,2
199000,17,3,1,79,5
549000,13,5,4,174,1
650000,14,4,3,117,6
295000,7,3,1,80,1
500000,6,2,2,87,1
295000,17,3,1,82,5
695000,12,4,1,130,3
530000,2,3,2,91,2
299995,12,2,1,61,5
1350000,6,4,2,181,1
1050000,4,3,3,206,1
225000,7,1,1,44,5
450000,8,3,1,83,5
245000,6,1,1,36,4
875000,25,4,3,222,1
450000,24,3,3,129,4
440000,7,3,2,92,4
345000,18,3,2,90,2
325000,24,3,2,94,1
525000,12,3,1,85,6
395000,15,4,3,133,1
345000,13,3,3,144,4
300000,3,3,1,85,4
280000,24,2,2,75,2
649000,9,4,2,135,4
350000,3,2,1,71,4
250000,11,3,1,102,4
475000,15,3,2,84,1
225000,1,1,1,35,2
335000,5,3,1,114,5
395000,7,2,1,81,5
395000,3,3,2,94,4
199000,22,2,1,74,2
1499950,6,8,8,190,4
950000,6,3,3,135,2
495000,3,3,2,118,4
435000,4,2,1,57,2
335000,4,2,1,65,2
250000,7,1,1,46,2
245000,9,1,1,55,2
235000,20,1,1,49,2
300000,15,2,2,80,2
450000,4,2,1,66,4
260000,8,1,1,41,2
345000,24,3,1,92,1
475000,7,3,1,85,1
450000,24,3,3,102,1
295000,5,2,1,62,2
359950,24,3,3,89,1
289000,24,3,1,99,5
595000,6,3,2,86,4
220000,15,3,1,74,4
795000,6,3,2,101,5
495000,4,2,2,64,2
295000,6,1,1,49,2
395000,8,3,2,123,2
425000,18,2,2,104,2
550000,4,3,2,95,2
475000,4,2,1,60,2
299950,24,2,3,95,4
220000,13,1,1,48,2
775000,7,3,3,175,4
310000,18,2,2,64,2
2500000,6,3,3,200,6
250000,15,2,2,78,2
285000,20,2,1,58,2
400000,9,3,1,85,1
375000,3,3,1,77,4
375000,18,3,2,109,2
675000,15,4,2,145,1
450000,9,3,2,98,2
400000,1,2,1,69,2
299000,3,2,1,58,2
230000,13,2,2,65,2
295000,18,2,2,75,2
345000,12,3,1,80,5
1100000,4,4,2,137,1
220000,11,2,2,61,2
375000,12,3,3,117,4
330000,18,2,1,63,2
825000,6,3,2,128,5
425000,22,3,1,98,1
265000,8,1,1,50,2
850000,6,3,2,112,2
665000,18,4,2,150,1
440000,18,3,1,84,5
435000,13,3,1,84,1
495000,4,2,1,57,2
550000,18,3,1,97,1
295000,15,2,2,71,2
550000,3,3,4,125,5
450000,16,3,3,104,4
495000,5,3,2,96,1
850000,14,4,3,140,1
375000,15,6,3,167,5
525000,15,3,3,117,1
950000,6,3,3,121,2
989000,6,3,3,133,2
330000,15,3,3,97,5
425000,4,2,2,61,2
645000,8,3,2,92,4
495000,9,4,3,156,1
220000,15,3,1,74,4
435000,8,3,1,83,4
225000,1,1,1,45,2
360000,20,3,1,90,4
495000,7,4,4,117,4
310000,7,2,1,47,4
475000,12,2,3,80,1
450000,13,3,3,141,5
625000,16,4,1,118,1
255000,5,2,2,61,2
395000,13,3,2,112,5
235000,15,2,2,72,2
360000,8,4,2,85,1
210000,8,1,1,47,2
940000,4,4,1,127,5
250000,24,3,2,84,2
350000,8,3,1,92,4
1200000,8,6,6,202,6
1250000,14,5,3,238,3
525000,12,4,3,111,5
280000,1,1,1,60,2
375000,9,3,3,88,1
315000,18,2,2,77,2
245000,8,1,1,37,2
190000,7,1,1,32,2
325000,15,2,1,62,4
485000,3,3,2,105,4
395000,13,3,3,110,4
470000,16,2,2,85,2
560000,16,3,2,119,2
595000,3,3,2,106,5
795000,15,4,3,168,1
295000,1,2,1,86,4
295000,24,2,1,69,5
750000,4,2,2,97,2
230000,15,2,2,69,2
425000,3,3,1,94,5
395000,2,2,1,69,2
295000,9,2,1,75,4
900000,6,7,4,218,4
295000,5,2,1,60,2
400000,4,2,1,76,5
425000,20,4,2,138,1
375000,5,3,1,85,4
300000,3,2,1,61,2
695000,14,4,3,138,1
210000,9,1,1,40,2
239950,22,3,1,78,4
560000,18,3,2,118,1
260000,7,1,1,56,2
250000,9,3,2,90,4
1300000,4,3,4,141,4
1200000,6,3,3,130,2
1200000,6,3,3,139,2
475000,6,2,2,86,2
495000,16,3,4,125,4
495000,15,4,3,142,1
380000,9,3,1,81,1
395000,9,4,2,120,1
395000,7,2,1,72,4
285000,7,2,2,58,2
610000,13,5,4,174,1
259950,13,2,2,70,2
375000,8,3,1,73,5
290000,22,3,1,82,1
375000,12,3,2,111,5
395000,8,3,2,103,4
295000,18,1,1,50,2
575000,16,3,1,105,1
475000,8,3,1,88,4
475000,9,3,1,109,4
325000,12,3,1,85,3
495000,22,4,3,137,6
750000,18,3,2,143,3
385000,7,2,1,60,4
375000,12,3,1,95,4
380000,13,3,3,123,4
735000,5,3,1,118,1
550000,14,4,1,137,1
695000,14,3,3,159,1
315000,17,3,1,65,4
525000,9,4,1,127,5
350000,8,2,2,92,2
375000,4,1,1,50,2
595000,7,3,1,110,4
595000,18,3,2,116,4
645000,18,4,2,130,1
360000,25,2,2,62,2
695000,9,2,2,137,4
1395000,4,4,4,235,4
425000,6,2,1,60,5
595000,16,3,2,130,1
625000,3,3,3,122,4
275000,6,1,1,42,2
895000,7,5,5,200,1
395000,11,3,2,74,5
825000,4,3,3,102,4
300000,24,3,3,100,4
550000,12,4,3,127,1
175000,11,1,1,56,2
280000,1,1,1,45,2
620000,16,4,2,111,6
349000,11,3,4,137,1
625000,14,3,2,130,1
795000,25,4,2,136,6
995000,4,2,2,121,4
725000,6,3,2,98,4
485000,24,4,2,132,1
375000,13,3,3,124,1
450000,18,3,1,88,4
2250000,6,4,4,310,6
299950,18,1,1,47,2
260000,12,3,1,71,4
275000,11,4,2,100,6
365000,12,3,2,93,4
450000,22,5,3,179,1
249000,11,3,1,77,5
495000,16,4,3,132,6
650000,16,2,2,121,2
695000,14,3,1,160,4
245000,7,1,1,43,2
1295000,13,6,5,268,6
299000,8,2,2,55,2
429000,12,3,2,90,2
535000,25,3,2,95,1
225000,15,1,1,45,2
295000,24,3,2,92,4
239950,7,2,2,60,5
750000,3,4,1,116,4
420000,12,3,2,100,5
380000,16,2,1,82,5
525000,18,3,1,105,1
275000,24,2,2,107,2
335000,14,3,1,80,4
235000,9,2,1,70,2
325000,8,2,2,75,2
