Price,Address,Beds,Baths,Footage,Type
"€335,000","12B Rathborne Close, Ashtown, Dublin 15",2 Bed,2 Bath,N/A,Apartment
"€300,000","110 Bertram Court, Christchurch, Lamb Alley, Dublin 8",2 Bed,1 Bath,59 m²,Apartment
"€260,000","21 Corduff Place, Blanchardstown, Dublin 15",3 Bed,1 Bath,81 m²,End of Terrace
"€199,000","12 Enaville Avenue, North Strand, Dublin 3",1 Bed,1 Bath,35 m²,End of Terrace
"€500,000","10 Castleknock Drive, Laurel Lodge, Castleknock, Dublin 15",4 Bed,2 Bath,107 m²,Semi-D
"€545,000","10 Beverly Lawns, Knocklyon, Knocklyon, Dublin 16",3 Bed,3 Bath,115 m²,Semi-D
"€895,000","1 Town Houses, Terenure Road East, Terenure, Dublin 6",5 Bed,4 Bath,177 m²,End of Terrace
"€795,000","8 Hawthorn Manor, Blackrock, Co. Dublin",4 Bed,3 Bath,125 m²,End of Terrace
"€285,000","26 Brian Boru Avenue, Clontarf, Clontarf, Dublin 3",1 Bed,1 Bath,32 m²,Terrace
"€295,000","5 Beresford House, Custom House Square, IFSC, Dublin 1",1 Bed,1 Bath,42 m²,Apartment
"€385,000","78 Grange Abbey Grove, Baldoyle, Baldoyle, Dublin 13",3 Bed,2 Bath,135 m²,Semi-D
"€850,000","18 Morehampton Terrace, Donnybrook, Donnybrook, Dublin 4",3 Bed,1 Bath,109 m²,Terrace
"€235,000","Apartment 4, The Weavers, Dublin 8",1 Bed,1 Bath,N/A,Apartment
"€325,000","511 Carnlough Road, Cabra West, Cabra, Dublin 7",2 Bed,1 Bath,60 m²,End of Terrace
"€395,000","1 Sandymount Village Centre, Sandymount Road, Sandymount, Dublin 4",1 Bed,1 Bath,74 m²,Duplex
"€420,000","20 Maolbuille Road, Glasnevin, Dublin 11",3 Bed,1 Bath,87 m²,End of Terrace
"€250,000","Saint Judes, Bluebell Avenue, Bluebell, Dublin 12",3 Bed,2 Bath,90 m²,Semi-D
"€424,950","19 Carriglea Gardens, Kill Avenue, Dun Laoghaire, Co. Dublin",2 Bed,2 Bath,N/A,End of Terrace
